"countryiso3code","Year","value"
"MUS",1981,12.1490884417306
"MUS",1982,12.8756807277516
"MUS",1983,11.3259978588579
"MUS",1984,11.9285292727495
"MUS",1985,12.6055807633429
"MUS",1986,12.571847812229
"MUS",1987,11.9805469230489
"MUS",1988,10.8018140035429
"MUS",1989,10.2633279585915
"MUS",1990,10.7427817711228
"MUS",1991,9.83645990422808
"MUS",1992,9.8796262146376
"MUS",1993,9.02941361193119
"MUS",1994,8.55095891050522
"MUS",1995,9.07592069658642
"MUS",1996,8.942677325507
"MUS",1997,8.1986559893348
"MUS",1998,8.01967920304773
"MUS",1999,4.92997413686503
"MUS",2000,5.62921764733664
"MUS",2001,6.06632136452678
"MUS",2002,5.12244932169367
"MUS",2003,5.10866283570549
"MUS",2004,5.20608568669627
"MUS",2005,4.91181106695197
"MUS",2006,4.9064477049401
"MUS",2007,4.37598692846311
"MUS",2008,4.07487669478706
"MUS",2009,3.88063998683832
"MUS",2010,3.64174219127995
"MUS",2011,3.70364769678842
"MUS",2012,3.65727062205542
"MUS",2013,3.33058654888172
"MUS",2014,3.19194906469573
"MUS",2015,3.07196343387118
"MUS",2016,3.0972700058085
"MUS",2017,2.99474898543124
"MUS",2018,2.5638570574366
"MUS",2019,2.70724144125848
"MUS",2020,3.14186163600476
"MUS",2021,3.280236086774
"MUS",2022,3.56303075042828
"MUS",2023,4.00597190759523
"MUS",2024,4.26098458541421
