Yield,Total_Rainfall_Plantation,Avg_Temperature_Plantation,Avg_Humidity_Plantation,Solar_Radiation_Plantation,Total_Rainfall_Growth,Avg_Temperature_Growth,Avg_Humidity_Growth,Solar_Radiation_Growth,Total_Rainfall_Maturation,Avg_Temperature_Maturation,Avg_Humidity_Maturation,Solar_Radiation_Maturation
1,-0.0404711567502265,0.128057988523105,0.078526125037753,-0.186980820740113,0.168378133494413,0.157052250075506,-0.0330715795832075,-0.134269749303683,0.148142555119299,-0.0320144971307762,0.134551495016611,-0.203745660079493
-0.0404711567502265,1,-0.55829054666264,0.159468438538206,-0.368675430877718,0.12866203563878,-0.521745696164301,0.0662941709453337,-0.207521524795569,0.200996677740864,-0.411205073995772,-0.00513440048323769,-0.264914668479933
0.128057988523105,-0.55829054666264,1,0.0613107822410148,0.400694763670048,-0.0676532769556025,0.820598006644518,-0.170492298399275,0.546594176299247,0.0749018423437028,0.823920265780731,0.105406221685291,0.305996076590847
0.078526125037753,0.159468438538206,0.0613107822410148,1,0.215979461759581,-0.140591966173362,0.229688915735427,0.0601026880096648,0.0415345118768425,0.247961340984597,-0.0283902144367261,0.306704922983993,0.157227006777429
-0.186980820740113,-0.368675430877718,0.400694763670048,0.215979461759581,1,-0.125509743162386,0.388611996578602,-0.0647938385278742,0.304380664652568,-0.0723455679600274,0.41066304652049,-0.0400241659904118,0.768731117824774
0.168378133494413,0.12866203563878,-0.0676532769556025,-0.140591966173362,-0.125509743162386,1,-0.259136212624585,0.689972817879795,-0.584503858048656,0.129266082754455,-0.263062518876472,0.367411658109333,-0.133212507183182
0.157052250075506,-0.521745696164301,0.820598006644518,0.229688915735427,0.388611996578602,-0.259136212624585,1,-0.374509211718514,0.532245890378156,0.0934762911507097,0.731501057082453,0.0847176079734219,0.304787799881702
-0.0330715795832075,0.0662941709453337,-0.170492298399275,0.0601026880096648,-0.0647938385278742,0.689972817879795,-0.374509211718514,1,-0.611085945649835,0.0487768045907581,-0.344155844155844,0.245696164300816,-0.0916779953063396
-0.134269749303683,-0.207521524795569,0.546594176299247,0.0415345118768425,0.304380664652568,-0.584503858048656,0.532245890378156,-0.611085945649835,1,-0.0980214480293482,0.669083227688771,-0.27412777838716,0.316918429003021
0.148142555119299,0.200996677740864,0.0749018423437028,0.247961340984597,-0.0723455679600274,0.129266082754455,0.0934762911507097,0.0487768045907581,-0.0980214480293482,1,0.0318634853518574,0.684234370280882,-0.379549921260019
-0.0320144971307762,-0.411205073995772,0.823920265780731,-0.0283902144367261,0.41066304652049,-0.263062518876472,0.731501057082453,-0.344155844155844,0.669083227688771,0.0318634853518574,1,-0.0220477197221383,0.404319593797481
0.134551495016611,-0.00513440048323769,0.105406221685291,0.306704922983993,-0.0400241659904118,0.367411658109333,0.0847176079734219,0.245696164300816,-0.27412777838716,0.684234370280882,-0.0220477197221383,1,-0.229421540148813
-0.203745660079493,-0.264914668479933,0.305996076590847,0.157227006777429,0.768731117824774,-0.133212507183182,0.304787799881702,-0.0916779953063396,0.316918429003021,-0.379549921260019,0.404319593797481,-0.229421540148813,1
