Yield,Total_Rainfall_Plantation_lag1,Avg_Temperature_Plantation_lag1,Avg_Humidity_Plantation_lag1,Solar_Radiation_Plantation_lag1,Total_Rainfall_Growth_lag1,Avg_Temperature_Growth_lag1,Avg_Humidity_Growth_lag1,Solar_Radiation_Growth_lag1,Total_Rainfall_Maturation_lag1,Avg_Temperature_Maturation_lag1,Avg_Humidity_Maturation_lag1,Solar_Radiation_Maturation_lag1
1,-0.186112691571194,-0.168931464273019,-0.148169744328493,-0.140506202729119,0.0918876648152709,-0.185652038424077,0.170591512964948,-0.188857126116051,-0.119200666553219,-0.259256312546734,-0.0667135108633189,-0.0954688224608093
-0.186112691571194,1,-0.413010120960419,0.562279889989132,0.0272202915807553,0.270194206338473,-0.423141973812094,0.31119671676469,-0.370866357735532,0.161724267855469,-0.405977618575969,0.178836872422184,0.181426315911745
-0.168931464273019,-0.413010120960419,1,-0.00841441237937127,0.245579102792296,-0.0987500106706296,0.77580907938618,-0.150078504085376,0.488527469303634,0.0684081761471365,0.844624763585043,0.0958738912895637,0.0866540366138763
-0.148169744328493,0.562279889989132,-0.00841441237937127,1,0.388229317921161,0.0548810975992864,0.0714332584015773,0.321870421938497,-0.251791460336234,0.268446389315389,-0.154913660946033,0.352917193100558,0.382189908295058
-0.140506202729119,0.0272202915807553,0.245579102792296,0.388229317921161,1,-0.110706090763202,0.24625958600943,0.0581728123352306,-0.237462618264546,0.0315670553199383,0.273697139365569,0.0918170732701764,0.881242017995035
0.0918876648152709,0.270194206338473,-0.0987500106706296,0.0548810975992864,-0.110706090763202,1,-0.361380267076595,0.707406716998557,-0.445038205653142,0.0738011382558105,-0.294369822658819,0.359344594940451,-0.0994709502080802
-0.185652038424077,-0.423141973812094,0.77580907938618,0.0714332584015773,0.24625958600943,-0.361380267076595,1,-0.366666671921735,0.481871002746677,0.138500720879822,0.705281933578903,0.0482405955914307,0.063443809847896
0.170591512964948,0.31119671676469,-0.150078504085376,0.321870421938497,0.0581728123352306,0.707406716998557,-0.366666671921735,1,-0.589626351156152,-0.0305131487959974,-0.356684507031708,0.248815296533074,0.110342856265426
-0.188857126116051,-0.370866357735532,0.488527469303634,-0.251791460336234,-0.237462618264546,-0.445038205653142,0.481871002746677,-0.589626351156152,1,-0.0862027036450358,0.540047953822801,-0.277656591292411,-0.382347648259612
-0.119200666553219,0.161724267855469,0.0684081761471365,0.268446389315389,0.0315670553199383,0.0738011382558105,0.138500720879822,-0.0305131487959974,-0.0862027036450358,1,0.0337326563379433,0.739267677296869,-0.144150792852084
-0.259256312546734,-0.405977618575969,0.844624763585043,-0.154913660946033,0.273697139365569,-0.294369822658819,0.705281933578903,-0.356684507031708,0.540047953822801,0.0337326563379433,1,-0.00798211434570393,0.180289657798227
-0.0667135108633189,0.178836872422184,0.0958738912895637,0.352917193100558,0.0918170732701764,0.359344594940451,0.0482405955914307,0.248815296533074,-0.277656591292411,0.739267677296869,-0.00798211434570393,1,0.0224109978442276
-0.0954688224608093,0.181426315911745,0.0866540366138763,0.382189908295058,0.881242017995035,-0.0994709502080802,0.063443809847896,0.110342856265426,-0.382347648259612,-0.144150792852084,0.180289657798227,0.0224109978442276,1
