Variable,VIF
Total_Rainfall_Plantation,2.79
Avg_Temperature_Plantation,7.87
Avg_Humidity_Plantation,3.24
Solar_Radiation_Plantation,7.61
Total_Rainfall_Growth,3.21
Avg_Temperature_Growth,4.01
Avg_Humidity_Growth,3.36
Solar_Radiation_Growth,3.77
Total_Rainfall_Maturation,3.75
Avg_Temperature_Maturation,6.7
Avg_Humidity_Maturation,3.49
Solar_Radiation_Maturation,10.34
